,Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
263,264,2013,Star Trek Into Darkness,"$467,381,584","$228,778,661","$238,602,923"
264,265,1999,The Matrix,"$465,974,198","$173,993,387","$291,980,811"
265,266,2009,The Hangover,"$465,487,583","$277,322,503","$188,165,080"
266,267,2018,Bumblebee,"$465,195,589","$127,195,589","$338,000,000"
267,268,2023,Ant-Man and the Wasp: Quantumania,"$464,557,732","$212,974,827","$251,582,905"
268,269,2006,Cars,"$461,630,558","$244,082,982","$217,547,576"
269,270,2022,Du Xing Yue Qiu (ç¬è¡æç),"$460,300,583",,"$460,300,583"
270,271,2006,X-Men: The Last Stand,"$459,260,946","$234,362,462","$224,898,484"
271,272,1996,Mission: Impossible,"$457,697,994","$180,981,886","$276,716,108"
272,273,2014,Lucy,"$457,507,776","$126,573,960","$330,933,816"
273,274,2007,National Treasure: Book of Secrets,"$457,325,804","$219,961,501","$237,364,303"
274,275,2003,The Last Samurai,"$456,810,575","$111,110,575","$345,700,000"
275,276,2015,San Andreas,"$456,258,539","$155,190,832","$301,067,707"
276,277,2007,300,"$454,161,935","$210,614,939","$243,546,996"
277,278,2000,Gladiator,"$452,282,115","$187,683,805","$264,598,310"
278,279,2018,Wo Bi Shi Yao Shen,"$451,183,392","$6,752","$451,176,640"
279,280,2001,Ocean's Eleven,"$450,728,529","$183,417,150","$267,311,379"
280,281,2012,Django Unchained,"$449,841,566","$162,805,434","$287,036,132"
281,282,2011,Thor,"$449,326,618","$181,030,624","$268,295,994"
282,283,2001,Pearl Harbor,"$449,239,853","$198,539,855","$250,699,998"
283,284,1999,Tarzan,"$448,191,819","$171,091,819","$277,100,000"
284,285,2019,The Secret Life of Pets 2,"$446,109,716","$158,874,395","$287,235,321"
285,286,2007,The Bourne Ultimatum,"$444,043,396","$227,471,070","$216,572,326"
286,287,2009,Alvin and the Chipmunks: The Squeakquel,"$443,483,213","$219,614,612","$223,868,601"
287,288,2002,Men in Black 2,"$441,767,803","$190,418,803","$251,349,000"
288,289,1993,Mrs. Doubtfire,"$441,286,003","$219,195,051","$222,090,952"
289,290,2016,Warcraft,"$438,899,824","$47,365,290","$391,534,534"
290,291,1991,Beauty and the Beast,"$438,656,843","$206,333,165","$232,323,678"
291,292,2016,La La Land,"$436,265,792","$151,101,803","$285,163,989"
292,293,2012,Les MisÃ©rables,"$435,412,594","$148,809,770","$286,602,824"
293,294,2001,The Mummy Returns,"$435,040,395","$202,007,640","$233,032,755"
294,295,2020,Wo He Wo De Jia Xiang,"$433,241,288",,"$433,241,288"
295,296,2019,Zhongguo jizhang,"$433,168,672","$706,572","$432,462,100"
296,297,2003,Terminator 3: Rise of the Machines,"$433,058,296","$150,358,296","$282,700,000"
297,298,1990,Pretty Woman,"$432,566,361","$178,406,268","$254,160,093"
298,299,2021,Shang-Chi and the Legend of the Ten R…,"$432,224,634","$224,543,292","$207,681,342"
299,300,2015,Terminator: Genisys,"$432,150,894","$89,760,956","$342,389,938"
300,301,2002,Die Another Day,"$431,942,139","$160,942,139","$271,000,000"
301,302,2018,A Star is Born,"$431,870,523","$215,288,866","$216,581,657"
302,303,2017,The Greatest Showman,"$430,782,826","$174,340,174","$256,442,652"
303,304,2010,The Kingâs Speech,"$430,061,213","$138,797,449","$291,263,764"
304,305,2019,PokÃ©mon: Detective Pikachu,"$428,919,826","$144,105,346","$284,814,480"
305,306,1973,The Exorcist,"$428,214,478","$230,347,346","$197,867,132"
306,307,2018,Rampage,"$427,947,217","$101,028,233","$326,918,984"
307,308,2003,The Matrix Revolutions,"$427,300,260","$139,270,910","$288,029,350"
308,309,2000,Cast Away,"$427,230,516","$233,632,142","$193,598,374"
309,310,2020,Bad Boys For Life,"$424,471,663","$204,417,855","$220,053,808"
310,311,1990,Dances with Wolves,"$424,208,805","$184,208,842","$239,999,963"
311,312,2010,The Chronicles of Narnia: The Voyage …,"$418,186,950","$104,386,950","$313,800,000"
312,313,2008,The Chronicles of Narnia: Prince Caspian,"$417,341,288","$141,621,490","$275,719,798"
313,314,2013,The Wolverine,"$416,456,852","$132,556,852","$283,900,000"
314,315,1999,The Mummy,"$416,385,488","$155,385,488","$261,000,000"
315,316,2016,Jason Bourne,"$416,168,316","$162,192,920","$253,975,396"
316,317,2008,Sex and the City,"$415,247,258","$152,647,258","$262,600,000"
317,318,1988,Rain Man,"$412,800,000","$172,825,435","$239,974,565"
318,319,1989,Batman,"$411,348,924","$251,188,924","$160,160,000"
319,320,1992,The Bodyguard,"$411,006,740","$122,006,740","$289,000,000"
320,321,2013,Pacific Rim,"$411,002,906","$101,802,906","$309,200,000"
321,322,2017,The Mummy,"$409,953,905","$80,101,125","$329,852,780"
322,323,2017,Kingsman: The Golden Circle,"$408,803,696","$100,234,838","$308,568,858"
323,324,2002,Signs,"$408,250,578","$227,969,295","$180,281,283"
324,325,2003,X-Men 2,"$406,348,630","$214,949,694","$191,398,936"
325,326,2008,The Mummy: Tomb of the Dragon Emperor,"$405,760,225","$102,491,776","$303,268,449"
326,327,2022,Sonic the Hedgehog 2,"$405,421,518","$190,872,904","$214,548,614"
327,328,2021,Sing 2,"$404,655,351","$162,790,990","$241,864,361"
328,329,2015,Kingsman: The Secret Service,"$404,561,724","$128,261,724","$276,300,000"
329,330,2022,Fantastic Beasts: The Secrets of Dumb…,"$404,560,145","$95,850,844","$308,709,301"
330,331,2023,John Wick: Chapter 4,"$402,987,649","$176,987,649","$226,000,000"
331,332,2012,Prometheus,"$402,448,265","$126,477,084","$275,971,181"
332,333,2008,Twilight,"$402,278,564","$192,769,854","$209,508,710"
